X,Y,OBJECTID,Stop_Code,Stop_ID,Stop_Name,Street,Cross_Street,Position,Stop_Lat,Stop_Lon,Downtown,Council_District,Sign_Crew,Road_Maint,GoRaleigh,GoTriangle,Wolfline,Wake_Forest,GoDurham,GoCary,Shelter,Shelter_Type,Shelter_Count,Bench,Bench_Type,Bench_Count,Trash_Can,Trash_Can_Type,Trash_Can_Count,Landing_Pad,Amenity_Pad,Pad_Size,Bike_Rack,Lighting,Lighting_Type,Real_Time,USB_Charging,Sidewalk,Crosswalk,Ped_Signal,Curb_Ramp,ADA_Compliant,Bike_Lane,Greenway,Art,Project,Project_Type,Project_Status,Project_Target,R1,R2,R2L,R3,R4,R5,R6,R7,R7L,R8,R8L,R9,R10,R11,R11L,R12,R13,R14,R15,R15L,R16,R18,R18S,R19,R20,R21,R22,R23,R23L,R24,R24L,R25,R25L,R26,R27,R28,R29,R31,R32,R33,R34,R36,R40X,R55X,R70X,R401X,R_Line,WRX,WFL,FRX,ZWX,Boardings,Alightings,Facility_ID,CreationDate,Creator,EditDate,Editor,Project_Lead,Sign_Type,Bus_Zone,Project_Complete,Ridership_Updated,Landscaping,GlobalID,R17,EmergencyPhone,Adoptable,Adoption_Status
-78.5155000002,35.9830800005,11,1815,1815,Stadium Dr at Wake Forest-Rolesvill,Stadium Dr,Wake Forest-Rolesvill, ,35.9830800006,-78.5155000002,No,,,,Yes,No,No,Yes,No,No,No,,0,No,,0,No,,0,No,No,,No,,,No,No,No,No,No,No,No,,No,No,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,0,1,1815,2020/07/28 13:27:39.407+00,justin.greco@raleighnc.gov_ral,2022/03/08 13:05:58.485+00,Matthew.Vanhoeck@raleighnc.gov_ral,,,No,,2022/01/20 05:00:00+00,,b45ec8af-4c96-47f4-b2af-6bf6afd48198,No,,No,Available
-78.5120900008,35.9820299993,12,1816,1816,North Ave at Wingate St (SBTS),North Ave,Wingate St (SBTS), ,35.9820299996,-78.5120900008,No,,,,Yes,No,No,Yes,No,No,No,,0,No,,0,No,,0,No,No,,No,,,No,No,No,No,No,No,No,,No,No,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,0,0,1816,2020/07/28 13:27:39.407+00,justin.greco@raleighnc.gov_ral,2022/03/08 13:05:58.485+00,Matthew.Vanhoeck@raleighnc.gov_ral,,,No,,2022/01/20 05:00:00+00,,1590eb4e-db7c-4985-b185-d94599ca6cee,No,,No,Available
-78.5090599995,35.9797899998,13,1817,1817,White St at Roosevelt Ave,White St,Roosevelt Ave, ,35.97979,-78.5090599995,No,,,,Yes,No,No,Yes,No,No,No,,0,No,,0,No,,0,No,No,,No,,,No,No,No,No,No,No,No,,No,No,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,5,3,1817,2020/07/28 13:27:39.407+00,justin.greco@raleighnc.gov_ral,2022/03/08 13:05:58.485+00,Matthew.Vanhoeck@raleighnc.gov_ral,,,No,,2022/01/20 05:00:00+00,,70d38ea2-06b6-46a4-ad22-0fe6c2741fc2,No,,No,Available
-78.5056099999,35.9844900002,14,1818,1818,Juniper Ave at White St,Juniper Ave,White St, ,35.9844899999,-78.5056099999,No,,,,Yes,No,No,Yes,No,No,No,,0,No,,0,No,,0,No,No,,No,,,No,No,No,No,No,No,No,,No,No,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,1,0,1818,2020/07/28 13:27:39.407+00,justin.greco@raleighnc.gov_ral,2022/03/08 13:05:58.485+00,Matthew.Vanhoeck@raleighnc.gov_ral,,,No,,2022/01/20 05:00:00+00,,a2662d48-1adc-4fe4-a328-d2473d3e6485,No,,No,Available
-78.5034199997,35.9836000006,15,1819,1819,Juniper Ave at Taylor St,Juniper Ave,Taylor St, ,35.9836000004,-78.5034199997,No,,,,Yes,No,No,Yes,No,No,No,,0,Yes,Improved,1,Yes,Concrete Mounted,1,No,No,,No,,,No,No,Yes,No,No,No,No,,No,No,,Shelter,Planned,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,2,2,1819,2020/07/28 13:27:39.407+00,justin.greco@raleighnc.gov_ral,2022/03/08 13:05:58.485+00,Matthew.Vanhoeck@raleighnc.gov_ral,,,No,,2022/01/20 05:00:00+00,,d153dbf0-01fb-4216-ae06-1e180729b528,No,,No,Available
-78.5006299995,35.9822200002,16,1820,1820,Allen Rd at Juniper Ave,Allen Rd,Juniper Ave, ,35.98222,-78.5006299995,No,,,,Yes,No,No,Yes,No,No,No,,0,No,,0,No,,0,No,No,,No,,,No,No,No,No,No,No,No,,No,No,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,1,2,1820,2020/07/28 13:27:39.407+00,justin.greco@raleighnc.gov_ral,2022/03/08 13:05:58.485+00,Matthew.Vanhoeck@raleighnc.gov_ral,,,No,,2022/01/20 05:00:00+00,,57dfbebe-e0f5-4b5f-92ff-77d15da31e89,No,,No,Available
-78.50072,35.9787100009,17,1821,1821,Allen Rd at Best St,Allen Rd,Best St,,35.9787100006,-78.50072,No,,,,Yes,No,No,Yes,No,No,Yes,Full,1,Yes,Improved,1,Yes,Concrete Mounted,1,No,Yes,,No,,,No,No,Yes,No,No,Yes,No,,No,No,,,Complete,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,5,2,1821,2020/07/28 13:27:39.407+00,justin.greco@raleighnc.gov_ral,2022/03/08 13:05:58.485+00,Matthew.Vanhoeck@raleighnc.gov_ral,,,No,,2022/01/20 05:00:00+00,,3994ee5d-1cda-45af-969b-893235f5d34d,No,,Yes,Available
-78.5040399999,35.9771100002,18,1822,1822,Wait Ave at Highgate Dr,Wait Ave,Highgate Dr, ,35.9771100004,-78.5040399999,No,,,,Yes,No,No,Yes,No,No,No,,0,No,,0,No,,0,No,No,,No,,,No,No,No,No,No,No,No,,No,No,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,0,0,1822,2020/07/28 13:27:39.407+00,justin.greco@raleighnc.gov_ral,2022/03/08 13:05:58.485+00,Matthew.Vanhoeck@raleighnc.gov_ral,,,No,,2022/01/20 05:00:00+00,,8efef42c-2339-4985-8f0d-efd12a921f50,No,,No,Available
-78.5077599998,35.9786799998,19,1823,1823,Roosevelt Ave at Brooks St,Roosevelt Ave,Brooks St, ,35.9786799999,-78.5077599998,No,,,,Yes,No,No,Yes,No,No,No,,0,No,,0,No,,0,No,No,,No,,,No,No,No,No,No,No,No,,No,No,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,7,11,1823,2020/07/28 13:27:39.407+00,justin.greco@raleighnc.gov_ral,2022/03/08 13:05:58.485+00,Matthew.Vanhoeck@raleighnc.gov_ral,,,No,,2022/01/20 05:00:00+00,,58b5aef9-4d13-4fb9-bad2-952616816000,No,,No,Available
-78.5097999993,35.9782299998,20,1824,1824,White St at Jones Ave,White St,Jones Ave, ,35.9782299995,-78.5097999993,No,,B,,Yes,No,No,Yes,No,No,No,,0,No,,0,Yes,Concrete Mounted,1,No,No,,No,,,No,No,Yes,No,No,Yes,No,,No,No,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,2,2,1824,2020/07/28 13:27:39.407+00,justin.greco@raleighnc.gov_ral,2022/03/08 13:05:58.485+00,Matthew.Vanhoeck@raleighnc.gov_ral,,,No,,2022/01/20 05:00:00+00,,7ead4679-621b-4bf1-b72a-9d9a97dceb6d,No,,No,Available
-78.5109249999,35.9706560004,21,1825,1825,Holding Ave at Northern Regional Ce,Holding Ave,Northern Regional Ce, ,35.9706560004,-78.5109249999,No,,B,,Yes,No,No,Yes,No,No,No,,0,No,,0,No,,0,No,No,,No,,,No,No,No,No,No,No,No,,No,No,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,6,3,1825,2020/07/28 13:27:39.407+00,justin.greco@raleighnc.gov_ral,2022/03/08 13:05:58.485+00,Matthew.Vanhoeck@raleighnc.gov_ral,,,No,,2022/01/20 05:00:00+00,,6c0c31a0-ffa7-4f4f-87b8-49e5e6133c24,No,,No,Available
-78.5104310002,35.9675379989,22,1826,1826,Franklin St at Yellow Poplar Ave,Franklin St,Yellow Poplar Ave, ,35.9675379993,-78.5104310002,No,,B,,Yes,No,No,Yes,No,No,No,,0,No,,0,No,,0,No,No,,No,,,No,No,No,No,No,No,No,,No,No,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,1,1,1826,2020/07/28 13:27:39.407+00,justin.greco@raleighnc.gov_ral,2022/03/08 13:05:58.485+00,Matthew.Vanhoeck@raleighnc.gov_ral,,,No,,2022/01/20 05:00:00+00,,2004fa89-4d72-4a64-8fec-851bb5150699,No,,No,Available
-78.5246005485,35.9526686705,26,1830,1830,Main St (1A) at Rogers Rd,Main St (1A),Rogers Rd, ,35.9526686705,-78.5246005485,No,,B,,Yes,No,No,Yes,No,No,No,,0,No,,0,No,,0,No,No,,No,,,No,No,No,No,No,No,No,,No,No,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,2,2,1830,2020/07/28 13:27:39.407+00,justin.greco@raleighnc.gov_ral,2022/03/08 13:05:58.485+00,Matthew.Vanhoeck@raleighnc.gov_ral,,,No,,2022/01/20 05:00:00+00,,35f0d227-7e71-4bea-a4ce-99ba8b890d21,No,,No,Available
-78.5308500003,35.9499800003,27,1831,1831,Main St (1A) at Ligon Mill Rd,Main St (1A),Ligon Mill Rd, ,35.9499800001,-78.5308500003,No,,B,,Yes,No,No,Yes,No,No,No,,0,No,,0,No,,0,No,No,,No,,,No,No,No,No,No,No,No,,No,No,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,2,1,1831,2020/07/28 13:27:39.407+00,justin.greco@raleighnc.gov_ral,2022/03/08 13:05:58.485+00,Matthew.Vanhoeck@raleighnc.gov_ral,,,No,,2022/01/20 05:00:00+00,,bcb30fa1-3b75-425d-bac0-76ac8affef8f,No,,No,Available
-78.5353743141,35.9478027374,28,1832,1832,Main St (1A) at Walmart,Main St (1A),Walmart, ,35.9478027374,-78.5353743141,No,,B,,Yes,No,No,Yes,No,No,No,,0,No,,0,No,,0,No,No,,No,,,No,No,No,No,No,No,No,,No,No,,Shelter,Planned,2023,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,6,5,1832,2020/07/28 13:27:39.407+00,justin.greco@raleighnc.gov_ral,2022/03/08 13:05:58.485+00,Matthew.Vanhoeck@raleighnc.gov_ral,,,No,,2022/01/20 05:00:00+00,,575c762f-d62d-4e7d-b073-91b414e199aa,No,,No,Available
-78.5446980003,35.9460040005,29,1833,1833,New Falls of Neuse Rd at Forest Pin,New Falls of Neuse Rd,Forest Pin, ,35.9460040007,-78.5446980003,No,B,B,Municipal,Yes,No,No,No,No,No,No,,0,No,,0,No,,0,No,No,,No,,,No,No,Yes,No,No,No,No,,No,No,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,,,1833,2020/07/28 13:27:39.407+00,justin.greco@raleighnc.gov_ral,2022/03/08 13:05:58.485+00,Matthew.Vanhoeck@raleighnc.gov_ral,,,No,,2022/01/20 05:00:00+00,,e6a8df1d-44e4-49e6-854f-cf05fe44f58d,No,,No,Available
-78.5483100002,35.9442000001,30,1834,1834,Common Oaks Dr at Chriswick House L,Common Oaks Dr,Chriswick House L, ,35.9441999998,-78.5483100002,No,B,B,Municipal,Yes,No,No,No,No,No,No,,0,No,,0,No,,0,No,No,,No,,,No,No,Yes,No,No,No,No,,No,No,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,4,3,1834,2020/07/28 13:27:39.407+00,justin.greco@raleighnc.gov_ral,2022/03/08 13:05:58.485+00,Matthew.Vanhoeck@raleighnc.gov_ral,,,No,,2022/01/20 05:00:00+00,,76c3253a-01ad-41a8-941a-6bdd5412ade7,No,,No,Available
-78.5465900005,35.9420800001,31,1835,1835,Common Oaks Dr at Oliver Rd,Common Oaks Dr,Oliver Rd, ,35.9420800002,-78.5465900005,No,B,B,Municipal,Yes,No,No,No,No,No,Yes,Full,1,No,,0,No,,0,No,Yes,,No,,,No,No,Yes,No,No,No,No,,No,No,,,Complete,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,6,5,1835,2020/07/28 13:27:39.407+00,justin.greco@raleighnc.gov_ral,2022/03/08 13:05:58.485+00,Matthew.Vanhoeck@raleighnc.gov_ral,,,No,,2022/01/20 05:00:00+00,,9453db91-f834-4e00-96e1-51cbff8cc3b7,No,,Yes,Available
-78.5447400001,35.9434500004,32,1836,1836,Forest Pines Dr at Wakefield Commons,Forest Pines Dr,Common Oaks Dr, ,35.9434500007,-78.5447400001,No,B,B,Municipal,Yes,No,No,No,No,No,No,,0,No,,0,No,,0,No,No,,No,,,No,No,Yes,No,No,No,No,,No,No,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,8,9,1836,2020/07/28 13:27:39.407+00,justin.greco@raleighnc.gov_ral,2022/03/08 13:05:58.485+00,Matthew.Vanhoeck@raleighnc.gov_ral,,,No,,2022/01/20 05:00:00+00,,42976efe-eaa6-426a-8fbe-9df7e74202ca,No,,No,Available
-78.5430000002,35.9674300005,33,1837,1837,Retail Dr at Chick-Fil-A,Retail Dr,Chick-Fil-A, ,35.9674300001,-78.5430000002,No,,B,,Yes,No,No,Yes,No,No,No,,0,No,,0,No,,0,No,No,,No,,,No,No,No,No,No,No,No,,No,No,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,1,1,1837,2020/07/28 13:27:39.407+00,justin.greco@raleighnc.gov_ral,2022/03/08 13:05:58.485+00,Matthew.Vanhoeck@raleighnc.gov_ral,,,No,,2022/01/20 05:00:00+00,,5cdd232d-77a7-4b20-a9b6-9d8ccd77ee3b,No,,No,Available
-78.5425900001,35.9728499993,34,1838,1838,Retail Dr at Target,Retail Dr,Target, ,35.9728499995,-78.5425900001,No,,B,,Yes,No,No,Yes,No,No,No,,0,No,,0,No,,0,No,No,,No,,,No,No,No,No,No,No,No,,No,No,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,2,3,1838,2020/07/28 13:27:39.407+00,justin.greco@raleighnc.gov_ral,2022/03/08 13:05:58.485+00,Matthew.Vanhoeck@raleighnc.gov_ral,,,No,,2022/01/20 05:00:00+00,,94205bdf-5786-4f31-a93a-991cd6b5c134,No,,No,Available
-78.5432899997,35.9766700001,35,1839,1839,Retail Dr at Durham Rd (NC 98),Retail Dr,Durham Rd (NC 98), ,35.9766700001,-78.5432899997,No,,B,,Yes,No,No,Yes,No,No,No,,0,No,,0,No,,0,No,No,,No,,,No,No,No,No,No,No,No,,No,No,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,3,2,1839,2020/07/28 13:27:39.407+00,justin.greco@raleighnc.gov_ral,2022/03/08 13:05:58.485+00,Matthew.Vanhoeck@raleighnc.gov_ral,,,No,,2022/01/20 05:00:00+00,,8508802c-4593-48ff-93f3-2df401f308ce,No,,No,Available
